SubscriptionName,SubscriptionGuid,Date,ResourceGuid,,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-11-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-12-2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/13/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/14/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/15/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/16/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/17/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/18/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/19/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/20/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/21/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/22/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/23/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/24/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/25/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/26/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/27/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/28/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/29/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/30/2025,c5d27838-2db2-45df-96fd-04d97d099e74,Storage,Standard HDD Managed Disks,IN Central,S4 LRS Disk,0.100008,0.168984
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-01-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-02-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-03-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-04-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-05-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-06-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-07-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-08-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-09-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-10-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-11-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-12-2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/13/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/14/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/15/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/16/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/17/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/18/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/19/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/20/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/21/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/22/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/23/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/24/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/25/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/26/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/27/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/28/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/29/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/30/2025,23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e,Storage,Standard Page Blob v2,IN Central,LRS Data Stored,1.625736,0.080472
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-06-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003327,0.000062
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-07-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003442,0.000066
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-08-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.002906,0.000055
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-09-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.002937,0.000053
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-10-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003447,0.000065
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-11-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.00326,0.000065
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-12-2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003417,0.000068
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/13/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.004879,0.000094
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/14/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.00377,0.000072
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/15/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003367,0.000062
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/16/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.00339,0.000062
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/17/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003802,0.000075
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/18/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.00379,0.000073
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/19/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.004123,0.000081
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/20/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003694,0.000067
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/21/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003822,0.000072
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/22/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003963,0.000072
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/23/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003501,0.000074
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/24/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003625,0.00007
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/25/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003431,0.000068
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/26/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003127,0.000054
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/27/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003229,0.000068
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/28/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003468,0.000067
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/29/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003345,0.000065
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/30/2025,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth,Inter-Region,Europe,Intra Continent Data Transfer Out,0.003543,0.000069
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-01-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-02-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-03-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-04-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-05-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-06-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-07-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-08-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,23.983353,5.060487
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-09-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-10-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-11-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11-12-2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/13/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/14/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/15/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/16/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/17/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/18/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/19/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/20/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/21/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/22/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/23/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/24/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/25/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/26/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/27/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/28/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/29/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
Actin-Azure Sponsorship,c27e8e3c-43a4-4c60-a0e1-73fafa80b8fa,11/30/2025,150f5365-4b10-5c8c-8db7-0de3a982a1e0,Virtual Machines,Basv2 Series Windows,IN Central,B8als v2,24,5.064
