hostname,ip,timestamp,cpu,memory,Disk_C:,os,Open Ports Count,Hardening_firewall,Hardening_defender,Hardening_smb_v1_disabled,Hardening_rdp_disabled,Hardening_uac_enabled,Hardening_password_policy,Hardening_auto_updates,Hardening_DefSig_antivirus_version,Hardening_DefSig_antispyware_version,Hardening_DefSig_last_updated,Hardening_DefSig_status,usb_storage_status,status,agent_version,Manufacturer,Model,Serial Number,Processor,Device Type,Installed Software Count,Latest Patch Installed,Patch Installed On,total_ram_gb,free_ram_mb,ram_modules_count,current_user,logged_user,MAC_0_adapter,MAC_0_mac_address,MAC_1_adapter,MAC_1_mac_address,MAC_2_adapter,MAC_2_mac_address,primary_mac,last_seen,compliance_status,health_status
Actin-CS-18,192.168.8.81,2026-03-23T10:03:59.465103,,,93.11,Microsoft Windows 11 Pro (Build 26200),20,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.664.0,1.445.664.0,20-03-2026 09:43:57,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP6G,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,228,KB5079473,13 March 2026 00:00:00,15.53,7307.5,2,AzureAD\AditiDewarde,AzureAD\AditiDewarde,Wi-Fi,4C-49-6C-35-41-0C,,,,,4C-49-6C-35-41-0C,2026-03-23T10:04:21.235786,COMPLIANT,Good
Actin-CS-03,192.168.5.62,2026-03-24T11:55:04.579919,31,75.37,96.21,Microsoft Windows 11 Pro (Build 26200),32,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.727.0,1.445.727.0,3/23/2026 11:52:55 PM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP7D,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,236,KB5085516,"Monday, March 23, 2026 12:00:00 AM",15.53,4171.96,2,NT AUTHORITY\SYSTEM,AzureAD\KartikShastrakar,vEthernet (Default Switch),00-15-5D-C5-A1-5B,Wi-Fi,4C-49-6C-35-4D-78,,,00-15-5D-C5-A1-5B,2026-03-24T11:55:25.746555,COMPLIANT,Warning
Actin-13,192.168.31.135,2026-03-24T11:57:09.338001,10,49.56,36.55,Microsoft Windows 11 Pro (Build 26200),17,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.729.0,1.445.729.0,3/24/2026 4:59:39 AM,PASS,enabled,online,1.0.77,LENOVO,21E4S3BX00,PG03TB92,12th Gen Intel(R) Core(TM) i5-1245U,Desktop/Laptop,44,KB5079473,"Wednesday, March 11, 2026 12:00:00 AM",15.69,8201.52,2,NT AUTHORITY\SYSTEM,AzureAD\MandarIrle,Wi-Fi,70-D8-23-D3-17-1F,,,,,70-D8-23-D3-17-1F,2026-03-24T11:57:22.462348,COMPLIANT,Good
Actin-36,192.168.24.50,2026-03-20T11:19:31.961699,,,,Windows,27,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.661.0,1.445.661.0,20-03-2026 05:15:50,PASS,,online,1.0.0,,,,,,,,,,,,,,,,,,,,,2026-03-20T11:19:32.528332,COMPLIANT,Good
Actin-CS-87,172.29.64.1,2026-03-09T17:32:16.450523,,,87.46,Microsoft Windows 11 Pro (Build 26200),28,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.431.0,1.445.431.0,3/9/2026 4:39:02 AM,PASS,enabled,online,1.0.41,LENOVO,21KG,PG04TE2S,13th Gen Intel(R) Core(TM) i5-1335U,Laptop,169,KB5077181,"Tuesday, February 17, 2026 12:00:00 AM",15.53,4979.9,2,AzureAD\RahulRasve,AzureAD\RahulRasve,Wi-Fi,5C-B4-7E-3D-55-31,vEthernet (WSL (Hyper-V firewall)),00-15-5D-E2-D8-90,,,5C-B4-7E-3D-55-31,2026-03-09T17:32:33.126135,COMPLIANT,Good
Actin-CS-96,192.168.0.146,2026-03-23T09:38:01.715233,,,28.73,Microsoft Windows 11 Pro (Build 26200),11,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.701.0,1.445.701.0,3/22/2026 2:36:37 PM,PASS,enabled,online,1.0.77,LENOVO,21SG,PG055BJC,Intel(R) Core(TM) 5 210H,Desktop/Laptop,16,KB5079473,"Thursday, March 12, 2026 12:00:00 AM",15.55,7308.08,1,AzureAD\RajeshBurase,AzureAD\RajeshBurase,Wi-Fi,C8-6E-08-35-4D-AA,,,,,C8-6E-08-35-4D-AA,2026-03-23T09:38:12.838027,COMPLIANT,Good
Actin-CS-100,192.168.0.88,2026-03-24T11:51:50.714743,5,84.36,53.57,Microsoft Windows 11 Pro (Build 26200),24,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,disabled,online,1.0.80,LENOVO,21SG,PG055BKB,Intel(R) Core(TM) 5 210H,Desktop/Laptop,32,KB5079473,"Wednesday, March 11, 2026 12:00:00 AM",15.55,2353.19,1,NT AUTHORITY\SYSTEM,AzureAD\PrasadVelankar,Wi-Fi,C8-6E-08-35-4D-9B,Ethernet 4,0A-00-27-00-00-09,,,C8-6E-08-35-4D-9B,2026-03-24T11:52:08.397849,COMPLIANT,Critical
Actin-CS-05,172.16.17.73,2026-03-24T11:58:56.584533,4,91.3,89.5,Microsoft Windows 11 Pro (Build 26200),52,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.728.0,1.445.728.0,3/24/2026 1:24:03 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04K3K5,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,232,KB5077181,"Monday, March 2, 2026 12:00:00 AM",15.53,1698.21,2,NT AUTHORITY\SYSTEM,AzureAD\MansiYadao,Wi-Fi,DC-97-BA-1E-49-F7,OpenVPN TAP-Windows6,00-FF-06-B1-63-86,,,DC-97-BA-1E-49-F7,2026-03-24T11:59:20.796078,COMPLIANT,Critical
Actin-CS-16,10.147.15.1,2026-03-20T10:48:56.641718,,,98.33,Microsoft Windows 11 Pro (Build 26200),18,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP9H,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,147,KB5077371,25 February 2026 00:00:00,15.53,5335.12,2,AzureAD\VaishnaviAdsure,AzureAD\VaishnaviAdsure,,,,,,,,2026-03-20T10:50:11.888450,COMPLIANT,Good
Actin-CS-07,192.168.1.11,2026-03-22T20:57:24.983755,,,52.08,Microsoft Windows 11 Pro (Build 26200),14,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.683.0,1.445.683.0,3/21/2026 1:21:23 PM,PASS,enabled,online,1.0.78,LENOVO,21KG,PG04EP9J,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,47,KB5079473,"Wednesday, March 18, 2026 12:00:00 AM",15.53,5556.67,2,AzureAD\AkashGhuge,AzureAD\AkashGhuge,Wi-Fi,C8-15-4E-D5-78-CF,,,,,C8-15-4E-D5-78-CF,2026-03-22T20:57:38.300079,COMPLIANT,Good
Actin-CS-59,192.168.5.99,2026-03-24T12:01:07.021822,0,54.86,26.51,Microsoft Windows 11 Business (Build 26200),13,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.724.0,1.445.724.0,23-03-2026 19:16:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP7E,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,26,KB5079473,11 March 2026 00:00:00,15.53,7100.47,2,NT AUTHORITY\SYSTEM,AzureAD\SwapnilWaghamale,Wi-Fi,4C-49-6C-35-4D-5A,,,,,4C-49-6C-35-4D-5A,2026-03-24T12:01:14.626466,COMPLIANT,Warning
Actin-CS-107,172.16.92.112,2026-03-20T10:35:13.805838,,,68.77,Microsoft Windows 11 Pro (Build 26200),17,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,1.445.630.0,1.445.630.0,19-03-2026 23:46:27,PASS,enabled,online,1.0.41,LENOVO,83A0,PG057ZYA,13th Gen Intel(R) Core(TM) i5-1335U,Laptop,21,KB5083532,11 March 2026 00:00:00,15.73,2830.23,2,AzureAD\ShamkantPawar,AzureAD\ShamkantPawar,Ethernet 3,54-A6-F3-54-B4-0F,Ethernet 2,0A-00-27-00-00-06,Wi-Fi,98-FE-3E-42-DA-42,54-A6-F3-54-B4-0F,2026-03-20T10:35:29.087605,COMPLIANT,Good
Actin-CS-08,192.168.8.54,2026-03-20T10:51:10.832432,,,71.53,Microsoft Windows 11 Pro (Build 26200),26,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,20-03-2026 02:31:27,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04ENZH,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,256,KB5079473,12 March 2026 00:00:00,15.53,3126.35,2,AzureAD\AratiDewarde,AzureAD\AratiDewarde,Wi-Fi,B0-47-E9-5D-01-8D,,,,,B0-47-E9-5D-01-8D,2026-03-20T10:51:25.178119,COMPLIANT,Good
Actin-CS-22,192.168.8.76,2026-03-23T09:56:00.525459,,,91.72,Microsoft Windows 11 Pro (Build 26200),16,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.632.0,1.445.632.0,3/20/2026 2:31:27 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP3P,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,275,KB5083532,"Wednesday, March 11, 2026 12:00:00 AM",15.53,8337.23,2,AzureAD\AratiKuranjekar,AzureAD\AratiKuranjekar,Wi-Fi,10-91-D1-4F-0B-5A,,,,,10-91-D1-4F-0B-5A,2026-03-23T09:56:35.208390,COMPLIANT,Good
Actin-20,192.168.5.60,2026-03-23T09:41:32.533609,,,67.53,Microsoft Windows 10 Enterprise (Build 19045),21,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,3/23/2026 3:32:32 AM,PASS,enabled,online,1.0.77,HP,HP 250 G8 Notebook PC,CND11747YT,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Desktop/Laptop,159,KB5072653,"Tuesday, November 25, 2025 12:00:00 AM",7.75,1575.81,1,AzureAD\KetanGhosale,AzureAD\KetanGhosale,Ethernet 2,54-21-5F-B8-3A-0F,Wi-Fi,EC-2E-98-08-2B-C1,,,54-21-5F-B8-3A-0F,2026-03-23T09:41:45.228748,COMPLIANT,Good
Actin-CS-105,192.168.5.125,2026-03-24T11:53:44.404296,33,84.45,34.64,Microsoft Windows 11 Pro (Build 26100),20,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,Unknown,Unknown,Unknown,ERROR,enabled,online,1.0.77,LENOVO,83A0,PG05808D,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,39,KB5077181,11 February 2026 00:00:00,15.73,2543.19,2,NT AUTHORITY\SYSTEM,AzureAD\YogeshJagtap,,,,,,,,2026-03-24T11:54:20.840357,NOT COMPLIANT,Critical
Actin-CS-63,172.20.10.14,2026-03-23T10:01:40.649091,,,77.5,Microsoft Windows 11 Pro (Build 26200),27,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.663.0,1.445.663.0,20-03-2026 08:18:17,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04EP0L,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,56,KB5077181,27 February 2026 00:00:00,15.53,4177.82,1,AzureAD\ShubhamVanave,AzureAD\ShubhamVanave,Wi-Fi,B0-47-E9-5D-00-98,Ethernet 6,0A-00-27-00-00-07,,,B0-47-E9-5D-00-98,2026-03-23T10:01:53.895943,COMPLIANT,Good
Actin-CS-70,192.168.8.72,2026-03-20T10:51:00.865798,,,87.62,Microsoft Windows 11 Pro (Build 26100),48,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,1.445.661.0,1.445.661.0,20-03-2026 5.15.50 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04SH5Q,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,219,KB5074109,28 January 2026 12.00.00 AM,15.53,2094.39,2,AzureAD\SayaliAjab,AzureAD\SayaliAjab,WiFi,5C-B4-7E-3A-95-DF,,,,,5C-B4-7E-3A-95-DF,2026-03-20T10:51:20.435857,COMPLIANT,Good
kanalytics,10.240.88.12,2026-03-24T12:20:59.264552,14,18.88,,Oracle Linux Server 8.10,10,FAIL,,,,,FAIL,FAIL,,,,,error,online,1.0.44,QEMU,"Standard PC (i440FX + PIIX, 1996)",N/A,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,Desktop,967,N/A,N/A,13.36,3641.95,1,root,N/A,ens3,02:00:17:03:71:68,,,,,02:00:17:03:71:68,2026-03-24T12:21:00.420359,UNKNOWN,Good
Actin-CS-80,192.168.5.137,2026-03-23T10:27:59.908165,,,85.1,Microsoft Windows 11 Pro (Build 26200),18,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.597.0,1.445.597.0,3/18/2026 1:56:57 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04TE8F,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,40,KB5083532,"Friday, March 13, 2026 12:00:00 AM",15.53,1289.05,2,AzureAD\AtulPandey,AzureAD\AtulPandey,Wi-Fi,5C-B4-7E-39-89-38,,,,,5C-B4-7E-39-89-38,2026-03-23T10:28:14.792958,COMPLIANT,Good
Actin-CS-106,192.168.8.23,2026-03-23T09:55:54.765309,,,38.99,Microsoft Windows 11 Pro (Build 26200),20,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,23-03-2026 03:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21SG,PG055BKT,Intel(R) Core(TM) 5 210H,Desktop/Laptop,175,KB5079473,11 March 2026 12:00:00 AM,15.55,2334.71,1,AzureAD\AshutoshKushire,AzureAD\AshutoshKushire,Wi-Fi,C8-6E-08-35-81-2B,,,,,C8-6E-08-35-81-2B,2026-03-23T09:56:05.557490,COMPLIANT,Good
Actin-CS-82,192.168.8.44,2026-03-23T10:08:13.545645,,,78.09,Microsoft Windows 11 Pro (Build 26200),16,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,1.445.710.0,1.445.710.0,23/03/2026 03:32:32 AM,PASS,enabled,online,1.0.77,LENOVO,21KG,PG04TE5M,13th Gen Intel(R) Core(TM) i5-1335U,Desktop/Laptop,23,KB5079473,11 March 2026 12:00:00 AM,15.53,5745.3,2,AzureAD\PrajaktaDarekar,AzureAD\PrajaktaDarekar,Ethernet 3,0A-00-27-00-00-0E,Wi-Fi,5C-B4-7E-3B-D6-B6,,,0A-00-27-00-00-0E,2026-03-23T10:08:38.235174,COMPLIANT,Good
