Hostname,IP,Status,Last Seen,Version,User
Actin-CS-08,192.168.1.6,online,2026-03-26T14:39:26.809712,1.0.77,AzureAD\AratiDewarde
Actin-CS-107,172.16.92.112,offline,2026-03-20T10:35:29.087605,1.0.41,unknown
Actin-CS-59,10.254.180.221,compromised,2026-03-25T17:51:27.641201,1.0.82,ACTIN-CS-59$
Actin-CS-33,10.94.24.6,offline,2026-03-26T14:12:57.580788,1.0.82,AzureAD\SanikaBhanage
Actin-CS-07,192.168.1.11,offline,2026-03-26T09:24:45.290291,1.0.78,AkashGhuge
Actin-CS-22,192.168.8.76,compromised,2026-03-23T10:58:34.974876,1.0.77,AratiKuranjekar
Actin-CS-105,192.168.5.125,online,2026-03-26T14:39:27.998824,1.0.82,AzureAD\YogeshJagtap
Actin-CS-106,192.168.8.23,offline,2026-03-26T14:19:46.961652,1.0.82,AzureAD\AshutoshKushire
Actin-20,192.168.5.60,compromised,2026-03-25T16:37:29.565056,1.0.82,ACTIN-20$
kanalytics,10.240.88.12,online,2026-03-26T14:54:48.367711,1.0.44,N/A
Actin-CS-80,192.168.5.137,online,2026-03-26T14:47:07.499103,1.0.77,AzureAD\AtulPandey
Actin-CS-91,192.168.8.105,offline,2026-03-18T17:58:13.865733,1.0.41,unknown
Actin-CS-54,192.168.8.36,online,2026-03-26T14:41:07.133559,1.0.77,AzureAD\RajashriShirude
Actin-CS-85,192.168.5.105,online,2026-03-26T14:48:40.474879,1.0.81,saadsayyed
Actin-CS-82,192.168.8.44,compromised,2026-03-25T16:37:03.183862,1.0.77,ACTIN-CS-82$
secsrv01,192.168.6.50,online,2026-03-26T14:35:38.307254,1.0.43,unknown
Actin-CS-97,192.168.8.90,online,2026-03-26T14:30:03.888210,1.0.82,AzureAD\RavinaShingate
Actin-CS-43,192.168.8.57,online,2026-03-26T14:33:15.628104,1.0.82,AzureAD\AkshataJadhav
Actin-CS-101,192.168.5.129,compromised,2026-03-25T15:14:58.953210,1.0.77,AzureAD\SalimShaikh
Actin-CS-69,10.104.155.151,offline,2026-03-26T11:23:52.964925,1.0.77,AzureAD\RaniGaikwad
Actin-CS-108,192.168.68.51,offline,2026-03-10T14:16:44.123818,1.0.41,unknown
Actin-CS-46,192.168.5.34,online,2026-03-26T14:43:48.596820,1.0.82,AzureAD\ShwetaJadhav
Actin-CS-35,192.168.1.41,offline,2026-03-26T14:00:28.441558,1.0.82,AzureAD\AnaghaShirke
Actin-CS-14,192.168.8.34,offline,2026-03-25T18:26:44.361420,1.0.77,AzureAD\AyushAtkare
Actin-CS-12,192.168.5.45,offline,2026-03-26T13:22:14.453383,1.0.82,AzureAD\PradipShinde
Actin-CS-44,192.168.5.131,online,2026-03-26T14:29:04.223651,1.0.82,AzureAD\SandeshParbhankar
Actin-011,192.168.5.65,compromised,2026-03-25T16:27:10.558751,1.0.82,ACTIN-011$
Actin-016,192.168.5.80,online,2026-03-26T14:52:44.132697,1.0.77,AzureAD\PavanBendarkar
Actin-22,172.16.92.41,offline,2026-03-25T09:47:28.088303,1.0.41,unknown
Actin-CS-01,192.168.8.195,offline,2026-03-20T10:52:25.081314,1.0.77,unknown
Actin-CS-84,10.85.57.66,online,2026-03-26T14:40:28.401570,1.0.82,AzureAD\DnyaneshwarKhokale
Actin-CS-05,192.168.8.91,online,2026-03-26T14:49:09.618248,1.0.82,AzureAD\MansiYadao
Actin-CS-110,172.20.10.2,compromised,2026-03-25T21:24:15.721472,1.0.81,AkshayPhadke
Actin-CS-36,192.168.8.78,offline,2026-03-26T13:55:09.513182,1.0.82,AzureAD\OnkarMadre
Actin-CS-13,192.168.5.71,online,2026-03-26T14:32:59.174863,1.0.77,AzureAD\NikhilSahasrabudhe
Actin-CS-10,192.168.5.55,offline,2026-03-25T16:36:39.301471,1.0.82,AzureAD\AakashPatil
Actin-CS-11,10.137.222.182,online,2026-03-26T14:34:44.908440,1.0.82,AzureAD\MandarJejurikar
Actin-CS-98,192.168.5.148,online,2026-03-26T14:51:06.442408,1.0.82,AzureAD\KiranTandale
Actin-CS-52,192.168.1.4,online,2026-03-26T14:24:44.009910,1.0.82,AzureAD\godrejiotsupport
KTLKL-073,192.168.20.111,online,2026-03-26T14:28:24.695584,1.0.78,KTLKOTHRUD\narayan.vaze
Actin-010,172.24.208.1,offline,2026-03-17T16:07:39.228938,1.0.41,unknown
Actin-CS-57,192.168.8.160,compromised,2026-03-25T09:50:33.567060,1.0.77,AkankshaBansal
Actin-002,192.168.8.138,offline,2026-03-25T15:25:31.608603,1.0.82,AzureAD\KaushalBhide
Actin-CS-40,192.168.5.152,online,2026-03-26T14:41:26.540060,1.0.82,AzureAD\KunalBadgujar
Actin-CS-88,192.168.8.83,online,2026-03-26T14:48:47.438388,1.0.77,ACTIN-CS-88\Admin
Actin-006,192.168.8.123,online,2026-03-26T14:34:23.986374,1.0.82,AzureAD\PallaviMurkute
Actin-CS-89,192.168.87.60,offline,2026-03-20T10:49:07.736595,1.0.77,unknown
Actin-CS-83,192.168.8.98,online,2026-03-26T14:35:58.617229,1.0.77,AzureAD\AmeyVanave
Actin-CS-28,192.168.5.24,online,2026-03-26T14:45:20.974060,1.0.82,AzureAD\PradumnKadam
Actin-015,172.20.10.2,online,2026-03-26T14:45:25.138439,1.0.77,ACTIN-015\Admin
Actin-25,192.168.8.43,online,2026-03-26T14:49:33.955138,1.0.77,ACTIN-25\Admin
Actin-CS-24,192.168.5.46,online,2026-03-26T14:32:00.883707,1.0.82,AzureAD\UmeshChaudhari
Actin-022,192.168.5.28,online,2026-03-26T14:32:02.899388,1.0.82,ACTIN-022\admin
Act-CS-61,192.168.8.149,online,2026-03-26T14:33:52.219759,1.0.77,AzureAD\RushikeshYadav
Actin-CS-06,192.168.8.53,online,2026-03-26T14:43:14.986138,1.0.82,AzureAD\SameerKandhare
Actin-CS-67,192.168.5.87,compromised,2026-03-25T16:16:48.710692,1.0.77,ACTIN-CS-67$
Actin-014,192.168.5.164,online,2026-03-26T14:25:53.762016,1.0.77,AzureAD\SagarShendarkar
Actin-CS-104,192.168.5.147,online,2026-03-26T14:41:20.980799,1.0.82,AzureAD\HarshKulkarni
Actin-CS-76,192.168.8.178,online,2026-03-26T14:53:17.420290,1.0.77,AzureAD\SameerKarandikar
Actin-CS-68,192.168.8.60,online,2026-03-26T14:53:35.390155,1.0.82,AzureAD\PoojaYeole
KTLKL-026,192.168.20.52,online,2026-03-26T14:43:54.737207,1.0.78,AzureAD\HelpdeskKothrud
Actin-CS-02,192.168.8.121,online,2026-03-26T14:44:09.331732,1.0.77,AzureAD\MukundRajput
Actin-CS-63,192.168.8.158,online,2026-03-26T14:52:16.900662,1.0.82,AzureAD\ShubhamVanave
Actin-CS30,172.20.10.10,offline,2026-03-25T10:24:18.433554,1.0.77,unknown
AI-socsrv,192.168.16.14,online,2026-03-26T14:33:59.261766,1.0.82,None (Service Mode)
Actin-CS-66,192.168.5.57,online,2026-03-26T14:41:05.017933,1.0.82,AzureAD\AbelDaniel
Actin-CS-03,192.168.8.100,online,2026-03-26T14:21:28.563019,1.0.82,AzureAD\KartikShastrakar
nzmxmxzmnzxn
cxxcmncxnmxnm
